Link,Title,Rating,No. of Ratings,Price
/-/en/sspa/click?ie=UTF8&spc=MTo3Njg3NTkzNTU1MjY0NjMyOjE2OTU2NDQ5OTI6c3BfYXRmX2Jyb3dzZTozMDAwMTcxOTIxOTY3MzI6OjA6Og&url=%2FLenovo-V17-Windows-Wireless-Notebook%2Fdp%2FB08SBSNCFS%2Fref%3Dsr_1_26_sspa%3Fqid%3D1695644992%26s%3Dcomputers%26sr%3D1-26-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1,Lenovo V17 - 17.3 Inch FHD - Core i5 1235U - 8GB RAM - 250GB SSD - Windows 11 Pro # with Wireless Mouse + Notebook Bag,,,809.00
/-/en/sspa/click?ie=UTF8&spc=MTo3Njg3NTkzNTU1MjY0NjMyOjE2OTU2NDQ5OTI6c3BfYXRmX2Jyb3dzZToyMDA2NDkxNjI0MjA5ODo6MDo6&url=%2FHP-17-Celeron-Wireless-Notebook%2Fdp%2FB09HKZDDN6%2Fref%3Dsr_1_27_sspa%3Fqid%3D1695644992%26s%3Dcomputers%26sr%3D1-27-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1,HP 17 - Black - 17.3 Inch HD+ - Celeron N4120 - RAM: 16GB - SSD: 1000GB - Windows 11 Pro - Office 2021 Pro # with Wireless Mouse + Notebook Bag,4.0 out of 5 stars,(5),493.00
/-/en/Lenovo-IdeaPad-Display-Graphics-Premium/dp/B0BQ3GGDPM/ref=sr_1_28?qid=1695644992&s=computers&sr=1-28,Lenovo IdeaPad Slim 1 Laptop | 15.6 Inch Full HD Display | AMD Ryzen 3 7320U | 8GB RAM | 256GB SSD | AMD Radeon 610M Graphics | Win11 Home | QWERTZ | Grey | 3 Months Premium Care,4.0 out of 5 stars,(288),380.97
/-/en/Lenovo-IdeaPad-Display-GeForce-Premium/dp/B0BGPQVVC2/ref=sr_1_29?qid=1695644992&s=computers&sr=1-29,Lenovo IdeaPad Gaming 3 Laptop | 16 Inch WUXGA Display | 165Hz | AMD Ryzen 5 6600H | 16GB RAM | 512GB SSD | NVIDIA GeForce RTX 3050 Ti | Win11 Home | QWERTZ | Grey | 3 Months Premium Care,4.2 out of 5 stars,(23),799.00
/-/en/Chromebook-Anti-Glare-MediaTek-Kompanio-ChromeOS/dp/B0BRYYRC58/ref=sr_1_30?qid=1695644992&s=computers&sr=1-30,ASUS Chromebook CM1 Laptop | 14 Inch FHD Anti-Glare IPS Display | MediaTek Kompanio 510 | 4 GB RAM | 128 GB eMMC | ARM G52 MC2 | ChromeOS | QWERTZ Keyboard | Gravity Grey,3.3 out of 5 stars,(7),209.00
/-/en/IdeaPad-Display-i3-1115G4-Graphics-Premium/dp/B0BVWD6VVB/ref=sr_1_31?qid=1695644992&s=computers&sr=1-31,Lenovo IdeaPad Slim 3i Laptop | 15.6 Inch Full HD Display | Intel Core i3-1115G4 | 8GB RAM | 256GB SSD | Intel UHD Graphics | Win11 Home | QWERTZ | Grey | 3 Months Premium Care,4.2 out of 5 stars,(14),399.00
/-/en/Anti-Glare-Display-i7-12700H-Windows-Keyboard/dp/B0BZ6GZNXP/ref=sr_1_32?qid=1695644992&s=computers&sr=1-32,ASUS TUF Gaming F15 Laptop | 15.6 Inch FHD 144Hz Anti-Glare IPS Display | Intel Core i7-12700H | 16 GB RAM | 512 GB SSD | NVIDIA RTX 4060 | Windows 11 | QWERTZ Keyboard | Mecha Grey,4.5 out of 5 stars,(28),"1,249.00"
/-/en/Lenovo-Display-i5-1240P-Graphics-Premium/dp/B0BQ3HFQL7/ref=sr_1_33?qid=1695644992&s=computers&sr=1-33,Lenovo Yoga Slim 6i Laptop | 14 Inch 2.8K Display | Intel Core i5-1240P | 16GB RAM | 512GB SSD | Intel Iris Xe Graphics | Win11 Home | QWERTZ | Grey | 3 Months Premium Care,4.3 out of 5 stars,(40),749.00
/-/en/Notebook-i7-13620H-Windows-Keyboard-B13VFK-269/dp/B0BV9BZ9VB/ref=sr_1_34?qid=1695644992&s=computers&sr=1-34,"MSI Katana 17 Gaming Notebook, 17.3 Inches, FHD, Intel Core i7-13620H, 2 x 8GB RAM, 1 TB SSD, RTX 4060 8 GB, Windows 11 Home, Gaming Keyboard, Black, B13VFK-269",4.5 out of 5 stars,(385),"1,399.00"
/-/en/Chromebook-CB315-3HT-P4L2-Display-Pentium-Graphics/dp/B09R94GYNB/ref=sr_1_35?qid=1695644992&s=computers&sr=1-35,Acer Chromebook 15 (CB315-3HT-P4L2) Laptop | 15.6 Full HD Touch Display | Intel Pentium N5030 | 4GB RAM | 64GB eMMC | Intel UHD Graphics 605 | Google Chrome OS | Silver,4.3 out of 5 stars,(325),278.00
/-/en/Notebook-i7-12650H-Windows-Keyboard-B12VGK-424/dp/B0BV94KDKJ/ref=sr_1_36?qid=1695644992&s=computers&sr=1-36,"MSI Katana 15 Gaming Notebook, 15.6 Inches FHD, Intel Core i7-12650H, 2 x 8 GB RAM, 512 GB SSD, RTX 4070 8 GB, Windows 11 Home, Gaming Keyboard, Black, B12VGK-424",4.5 out of 5 stars,(385),"1,399.00"
